"col0","col1","LocName","fX","fY","iConf","iLvl"
セブン‐イレブン／豊橋高師本郷町店,愛知県豊橋市高師本郷町字竹ノ内７１,"愛知県/豊橋市/高師本郷町/竹ノ内","137.39622","34.71629","5","6"
ファミリーマート／新豊橋駅店,愛知県豊橋市駅前大通１丁目１３８,"愛知県/豊橋市/駅前大通/一丁目/１３８番地","137.38316","34.76205","5","7"
ローソン／豊橋天伯店,愛知県豊橋市天伯町字高田山５７−１,"愛知県/豊橋市/天伯町/高田山","137.41431","34.71156","5","6"
セブン‐イレブン／豊橋神野新田町店,愛知県豊橋市神野新田町字ヌノ割３８−１,"愛知県/豊橋市/神野新田町/ヌノ割/３８番地","137.33665","34.73608","5","7"
ファミリーマート／豊橋江島店,愛知県豊橋市江島町１４１−１,"愛知県/豊橋市/江島町/１４１番地","137.40749","34.73412","5","7"
セブン‐イレブン／豊橋広小路２丁目店,愛知県豊橋市広小路２丁目９−１−１Ｆ,"愛知県/豊橋市/広小路/二丁目/９番地","137.38681","34.76432","5","7"
セブン‐イレブン／豊橋高洲町店,愛知県豊橋市高洲町字高洲１１７−１,"愛知県/豊橋市/高洲町/高洲/１１７番地","137.35297","34.77179","5","7"
セブン‐イレブン／豊橋西岩田２丁目店,愛知県豊橋市西岩田２丁目１−１,"愛知県/豊橋市/西岩田/二丁目/１番","137.41560","34.75443","5","7"
セブン‐イレブン／豊橋つつじが丘店,愛知県豊橋市つつじが丘３丁目３６−６,"愛知県/豊橋市/つつじが丘/三丁目/３６番","137.40300","34.74606","5","7"
ローソン／豊橋老津店,愛知県豊橋市老津町字沖田７３−３,"愛知県/豊橋市/老津町/沖田","137.33023","34.69244","5","6"
ファミリーマート／豊橋柱八番町店,愛知県豊橋市柱八番町４７,"愛知県/豊橋市/柱八番町/４７番地","137.37860","34.74447","5","7"
セブン‐イレブン／豊橋東脇店,愛知県豊橋市東脇１丁目２１−９,"愛知県/豊橋市/東脇/一丁目/２１番","137.36491","34.75311","5","7"
セブン‐イレブン／豊橋草間町店,愛知県豊橋市草間町字平南７−１,"愛知県/豊橋市/草間町/平南/７番地","137.37775","34.73641","5","7"
セブン‐イレブン／豊橋石巻本町店,愛知県豊橋市石巻本町字北市場４５−６,"愛知県/豊橋市/石巻本町/北市場/４５番地","137.44130","34.80471","5","7"
ローソン／豊橋二川店,愛知県豊橋市大岩町字小山塚６２−８,"愛知県/豊橋市/大岩町/小山塚/６２番地","137.44606","34.71898","5","7"
セブン‐イレブン／豊橋忠興店,愛知県豊橋市忠興１丁目５−１６,"愛知県/豊橋市/忠興/一丁目/５番","137.43065","34.77465","5","7"
セブン‐イレブン／豊橋仁連木町店,愛知県豊橋市仁連木町１８６−５,"愛知県/豊橋市/仁連木町/１８６番地","137.41649","34.77163","5","7"
ファミリーマート／豊橋大清水店,愛知県豊橋市大清水町字大清水２３８−３,"愛知県/豊橋市/大清水町/大清水/２３８番地","137.35141","34.70345","5","7"
セブン‐イレブン／豊橋北山町店,愛知県豊橋市北山町字東浦７−４２,"愛知県/豊橋市/北山町/東浦/７番地","137.39027","34.73682","5","7"
ファミリーマート／豊橋井原店,愛知県豊橋市井原町１０７−２,"愛知県/豊橋市/井原町/１０７番地","137.42464","34.76527","5","7"
ファミリーマート／豊橋岩屋町店,愛知県豊橋市岩屋町字岩屋下３８−４,"愛知県/豊橋市/岩屋町/岩屋下/３８番地","137.42410","34.73620","5","7"
ファミリーマート／豊橋旭店,愛知県豊橋市旭町１００,"愛知県/豊橋市/旭町","137.40239","34.76794","5","5"
ミニストップ／豊橋技科大前店,愛知県豊橋市天伯町字東天伯６０−６,"愛知県/豊橋市/天伯町/東天伯/６０番地","137.41513","34.70041","5","7"
ファミリーマート／西岩田店,愛知県豊橋市西岩田５丁目１１−７,"愛知県/豊橋市/西岩田/五丁目/１１番","137.42230","34.75191","5","7"
ファミリーマート／豊橋富士見台店,愛知県豊橋市富士見台３丁目２８−１,"愛知県/豊橋市/富士見台/三丁目/２８番地","137.36555","34.67729","5","7"
ファミリーマート／豊橋問屋町店,愛知県豊橋市神野新田町字スノ割４１−４,"愛知県/豊橋市/神野新田町/スノ割/４１番地","137.33311","34.76233","5","7"
ファミリーマート／豊橋花中店,愛知県豊橋市花中町４９−３,"愛知県/豊橋市/花中町/４９番地","137.38374","34.75461","5","7"
ファミリーマート／豊橋原町店,愛知県豊橋市原町字塘上２−２,"愛知県/豊橋市/原町/塘上/２番地","137.48549","34.71487","5","7"
ミニストップ／豊橋杉山町店,愛知県豊橋市杉山町字外張６５−３,"愛知県/豊橋市/杉山町/外張/６５番地","137.32294","34.68906","5","7"
ローソン／豊橋日色野店,愛知県豊橋市日色野町字新切１２−１,"愛知県/豊橋市/日色野町/新切/１２番地","137.34337","34.78456","5","7"
セブン‐イレブン／豊橋立花町店,愛知県豊橋市立花町５２,"愛知県/豊橋市/立花町/５２番地","137.37762","34.76051","5","7"
ファミリーマート／豊橋瓜郷前川店,愛知県豊橋市瓜郷町前川４０−１,"愛知県/豊橋市/瓜郷町/前川/４０番地","137.37550","34.78636","5","7"
ローソンストア１００／豊橋曙店,愛知県豊橋市西幸町字浜池７−２,"愛知県/豊橋市/西幸町/浜池/７番地","137.40375","34.72406","5","7"
ファミリーマート／豊橋豊清町店,愛知県豊橋市豊清町字籠田２３−５８,"愛知県/豊橋市/豊清町/籠田/２３番地","137.46658","34.71756","5","7"
ローソン／豊橋駅前店,愛知県豊橋市広小路１丁目４０,"愛知県/豊橋市/広小路/一丁目/４０番地","137.38368","34.76413","5","7"
セブン‐イレブン／豊橋前芝町店,愛知県豊橋市前芝町字山内２５−２,"愛知県/豊橋市/前芝町/山内/２５番地","137.33354","34.78447","5","7"
ミニストップ／豊橋曙町店,愛知県豊橋市曙町字測点１４９−１,"愛知県/豊橋市/曙町/測点/１４９番地","137.40118","34.72727","5","7"
セブン‐イレブン／豊橋大山町店,愛知県豊橋市大山町字東大山１２６−３,"愛知県/豊橋市/大山町/東大山/１２６番地","137.35864","34.72513","5","7"
ファミリーマート／ホテルアソシア豊橋店,愛知県豊橋市花田町字西宿,"愛知県/豊橋市/花田町/西宿","137.38150","34.76345","5","6"
セブン‐イレブン／豊橋西岩田６丁目店,愛知県豊橋市西岩田６丁目１６−８,"愛知県/豊橋市/西岩田/六丁目/１６番","137.42233","34.75099","5","7"
ミニストップ／豊橋牛川町店,愛知県豊橋市牛川町字西側６６−１,"愛知県/豊橋市/牛川町/西側/６６番地","137.41417","34.78204","5","7"
ファミリーマート／豊橋東岩田三丁目店,愛知県豊橋市東岩田３丁目１５−６,"愛知県/豊橋市/東岩田/三丁目/１５番","137.43280","34.75228","5","7"
セブン‐イレブン／豊橋二川南店,愛知県豊橋市大岩町字前田４３−１,"愛知県/豊橋市/大岩町/前田/４３番地","137.43379","34.72327","5","7"
ファミリーマート／豊橋曙町店,愛知県豊橋市曙町字南松原７８−６,"愛知県/豊橋市/曙町/南松原/７８番地","137.40469","34.72838","5","7"
ミニストップ／豊橋駒形町店,愛知県豊橋市駒形町字海中７３−１,"愛知県/豊橋市/駒形町/海中/７３番地","137.36443","34.72792","5","7"
ローソン／豊橋東幸店,愛知県豊橋市東幸町字東明１３２,"愛知県/豊橋市/東幸町/東明/１３２番地","137.42003","34.73324","5","7"
セブン‐イレブン／豊橋横須賀町店,愛知県豊橋市横須賀町野田２７−１,"愛知県/豊橋市/横須賀町/野田/２７番地","137.37469","34.78320","5","7"
ファミリーマート／豊橋松葉町店,愛知県豊橋市松葉町１丁目５３,"愛知県/豊橋市/松葉町/一丁目/５３番地","137.38446","34.76509","5","7"
ファミリーマート／豊橋白河町店,愛知県豊橋市白河町８４−１,"愛知県/豊橋市/白河町/８４番地","137.38071","34.76054","5","7"
ファミリーマート／豊橋下条東町店,愛知県豊橋市下条東町字広間１２５−１,"愛知県/豊橋市/下条東町/広間/１２５番地","137.42157","34.80141","5","7"
ローソン／豊橋佐藤三丁目店,愛知県豊橋市佐藤３丁目１５−８,"愛知県/豊橋市/佐藤/三丁目/１５番","137.40825","34.74303","5","7"
ファミリーマート／豊橋多米東町三丁目店,愛知県豊橋市多米東町３丁目３４−２,"愛知県/豊橋市/多米東町/三丁目/３４番","137.46080","34.76291","5","7"
ファミリーマート／豊橋野依インター店,愛知県豊橋市野依町字井原９９−４,"愛知県/豊橋市/野依町/井原/９９番地","137.39143","34.69676","5","7"
セブン‐イレブン／豊橋柱三番町店,愛知県豊橋市柱四番町１２３,"愛知県/豊橋市/柱四番町/１２３番地","137.37527","34.74888","5","7"
ファミリーマート／豊橋佐藤一丁目店,愛知県豊橋市佐藤１丁目１１−１３,"愛知県/豊橋市/佐藤/一丁目/１１番","137.40184","34.74824","5","7"
ファミリーマート／豊橋東幸店,愛知県豊橋市東幸町字水神１−７,"愛知県/豊橋市/東幸町/水神/１番地","137.41409","34.73887","5","7"
